name,geometryPoint,price,stream
外文书店,"121.482877,31.234052",0,30
柳林别墅,"121.438693,31.221777",0,5
静安寺,"121.44532,31.223505",0,76
上海美术电影制片厂 ,"121.432889,31.226172",0,4
荣康别墅,"121.447832,31.216658",0,76
上海益民食品历史馆,"121.493383,31.261849",0,130
日商纺织株式会社旧址,"121.545917,31.263072",0,232
瑞镕船厂旧址,"121.522875,31.252034",0,87
上海戏曲艺术中心,"121.451979,31.205418",0,546
上海宋庆龄故居 ,"121.439062,31.204017",20,436
鲁迅故居,"121.484647,31.266045",5,323
蔡元培先生故居,"121.447107,31.218906",0,567
巴金故居,"121.440526,31.208582",0,234
余德耀美术馆,"121.461961,31.170518",0,767
丁香花园,"121.439141,31.212012",0,89
泰晤士天主堂,"121.193797,31.033852",0,400
上海外滩美术馆,"121.487525,31.241262",50,1400
蒋介石故居,"121.449753,31.208152",0,400
上海铁路博物馆,"121.476228,31.250035",10,923
上海玻璃博物馆,"121.471877,31.343692",20,698
万国建筑博览群,"121.48927,31.237204",0,1834
上海博物馆,"121.475497,31.228234",0,1700
