amount,楼层,馆别,文物
475,1楼,中国古代青铜馆,大克鼎
239,1楼,中国古代青铜馆,父乙觥
225,1楼,中国古代青铜馆,镶嵌十字纹方钺
146,1楼,中国古代青铜馆,子仲姜盘
132,1楼,中国古代青铜馆,兽面纹壶
108,1楼,中国古代青铜馆,吴王光剑
106,1楼,中国古代青铜馆,牺尊
99,1楼,中国古代青铜馆,八牛贮贝器
94,1楼,中国古代青铜馆,透雕盘龙纹鼓座
86,1楼,中国古代青铜馆,兽面纹斝
127,1楼,中国古代雕塑馆,菩萨漆金彩绘木雕像
67,1楼,中国古代雕塑馆,迦叶木雕头像
69,1楼,中国古代雕塑馆,陶抚琴俑
51,1楼,中国古代雕塑馆,彩绘木俑
49,1楼,中国古代雕塑馆,释迦牟尼佛石像
46,1楼,中国古代雕塑馆,阿弥陀佛三尊铜像
42,1楼,中国古代雕塑馆,石狮
39,1楼,中国古代雕塑馆,菩萨石像
29,1楼,中国古代雕塑馆,佛像石塔节
25,1楼,中国古代雕塑馆,王龙生等造佛像石碑
71,1楼,第一临展馆,仪象万千：明代彩色釉陶俑特展
127,1楼,第一临展馆,东西汇融：中欧陶瓷与文化交流特展
66,1楼,第一临展馆,春风千里——江南文化艺术展
135,1楼,第一临展馆,美术的诞生：从太阳王到拿破仑
149,2楼,中国古代陶瓷馆,景德镇窑粉彩蝠桃纹橄榄瓶
111,2楼,中国古代陶瓷馆,汝窑盘
80,2楼,中国古代陶瓷馆,石岭下类型彩陶鸟纹壶
67,2楼,中国古代陶瓷馆,白釉镂雕殿宇人物枕
57,2楼,中国古代陶瓷馆,清乾隆景德镇窑冬青釉暗花描金茶叶末座盖碗
56,2楼,中国古代陶瓷馆,景德镇窑青花缠枝牡丹纹瓶
56,2楼,中国古代陶瓷馆,清雍正景德镇窑青釉云龙纹缸
50,2楼,中国古代陶瓷馆,景德镇窑红釉盘
49,2楼,中国古代陶瓷馆,景德镇窑五彩鱼藻纹罐
48,2楼,中国古代陶瓷馆,越窑青釉海棠式碗
