楼层,馆号,馆名,文物,name,方块坐标,长,宽,level,朝代,age,cm,like,点赞数,图片链接,介绍
1,0,中国古代青铜馆,大克鼎,大克鼎,"5,-8.5,-11",1.5,1.5,一级,2,-1030,93.1,475,475,https://img1.imgtp.com/2022/06/04/rWDEAhqm.jpg,"此鼎器壁厚实,形制雄伟。口沿下饰三组变形面纹,并间以六道短棱脊,腹部是宽大的波曲纹,婉转流畅"
1,0,中国古代青铜馆,龙纹方壶,龙纹方壶,"-6,-5.5,-3",1,2,一级,4,-561,91,400,400,https://img1.imgtp.com/2022/06/07/8ei8cdyz.jpg,"盖的抓手内饰交龙纹,盖边饰变形善纹一周,器颈饰波曲纹,腹部饰交龙纹,居中是一个离浮雕的龙头,体向两弯曲展开,其末端是尖角龙首,左右上下各有一长冠龙和弯角龙腹部侧面的纹饰与正面路有不同。"
1,0,中国古代青铜馆,棘刺纹尊,棘刺纹尊,"0.5,-6.5,-29.5",1,4,三级,4,-226,29,378,378,https://img1.imgtp.com/2022/06/07/Lx7Ek8ek.jpg,"方格内饰雷纹和宽条形的变形兽纹一一相间,腹部纹饰呈直条状,由宽条的变形兽纹和棘刺纹相间,与颈部和圈足的纹饰作交错排列。"
1,0,中国古代青铜馆,见日之光,见日之光,"-13.5,-8.5,-30.5",1.5,2,一级,5,-1198,26,367,367,https://img1.imgtp.com/2022/06/07/tJLFmajA.jpg,"见日之光”透光镜半圆钮,圆钮座,内区为卷云纹,外围铭文一周,为“见日之光,天下大明八字,这是汉代铜镜的习惯用语,每两字之间夹有一个符号。"
1,0,中国古代青铜馆,镶嵌几何纹敦,镶嵌几何纹敦,"17,-5,-40.5",4,1,一级,5,-221,112,300,300,https://img1.imgtp.com/2022/06/06/MUnrzuk0.jpg,"方壶在战国中晚期比较流行,秦汉时期又称为纺”。口略侈,设平顶四网式方形素盖,盖四角各设一环,两侧设兽首环耳,铸造精细。"
1,0,中国古代青铜馆,父乙觥,父乙觥,"7,-8.5,28",1.5,1.5,一级,5,-1295,124,239,239,https://img1.imgtp.com/2022/06/04/15LoDpDS.jpg,"盛器,盖前端作龙头,双角内向有钩状小枝,头部有兔形长耳,完全是超自然的物象。自额顶正中起向后有一条棱作立式小龙,尾上卷,体部较长。"
1,0,中国古代青铜馆,仲壶,仲壶,"-6,-5.5,-5.5",1,2,一级,5,-619,98,234,234,https://img1.imgtp.com/2022/06/07/7HFUraCn.jpg,"盖沿及圈足饰对称曲折体的蛇纹,器颈中央设一浮雕兽首,两侧饰对称鸟纹,弯曲的鸟特长,盖面及腹部饰对称卷体兽纹,仅存播曲的躯体和尾部,省略了头部。"
1,0,中国古代青铜馆,错金银鸟兽形盉,错金银鸟兽形盉,"5,-5.5,-32.5",3,1,一级,6,-750,16,231,231,https://img1.imgtp.com/2022/06/07/IEK6AFRM.jpg,"鸟首兽身形,短颈,盖顶有系,套铸于提梁后部的钮中,盖缘饰交龙纹。设半圆形提梁,前为虎头,四足跨于器颈口沿的前后,后端有一段象征性的尾羽。"
1,0,中国古代青铜馆,晋侯苏钟,晋侯苏钟,"3,-6.5,-23.5",1,4,一级,4,-708,63,231,231,https://img1.imgtp.com/2022/06/07/UBDgwHD4.jpg,"共有十六枚,上海博物馆藏有十四,尚有二枚存山西省文物考古研究所。整组编钟有三种形式,自西周中期到晚期的都有,当时是根据谐音无铭钟凑起来,再分整篇铭文。"
1,0,中国古代青铜馆,虎簋,虎簋,"17,-8.5,-15",2,1.5,三级,5,-603,93,231,231,https://img1.imgtp.com/2022/06/07/E0higDo6.jpg,"器盖顶部作莲瓣形捉手,腰部两侧设龙首耳垂琪。盖面、部及方座的四壁均饰流转的波曲纹,龙首耳附饰重环纹,口沿和圈足饰由动物纹变形而来的窃曲纹,口沿的窃曲纹兽目突出,圈足之纹饰则省路兽目。"
1,0,中国古代青铜馆,镶嵌十字纹方钺,镶嵌十字纹方钺,"-3,-8.5,7",1.5,1.5,一级,5,-1322,100,225,225,https://img1.imgtp.com/2022/06/04/O6fzAl9R.jpg,"是古代青铜器中的兵器。这种大型并非实用器,而可能是作为仪仗或军事权利的象征,是体现贵族统治权利和身份的一种标志。"
1,0,中国古代青铜馆,古方尊,古方尊,"18.5,-5.9,32",2,1,三级,5,-1521,104,222,222,https://img1.imgtp.com/2022/06/07/ZBwB5wyr.jpg,"此器圆口方体,下承高圈足,形制与商代的大口有尊不同,器形较为少见。自口至圈足均匀地设置四条钩状棱脊。"
1,0,中国古代青铜馆,鲁侯尊,鲁侯尊,"16,-5.9,32",2,1,二级,2,-933,41,222,222,https://img1.imgtp.com/2022/06/07/NTtREHrP.jpg,"整体朴素无纹饰,但作多节状,每节凹凸相间,展望起伏的层次,有一种朴质厚重的感觉。尤其是首耳的根部到器的底部,伸展出宽厚弧曲的
垂翼,更增加了器物的稳重感。"
1,0,中国古代青铜馆,龙耳尊,龙耳尊,"-3,-8.5,-28.5",1.5,2,三级,4,-510,49,200,200,https://img1.imgtp.com/2022/06/07/DLHhU8wK.jpg,"该尊的体型较大,腹两饰龙形把手,龙首回顾,尾上卷,有四爪与腹相接,相接的部位有明显的结疤焊痕,这是先铸成器再覆铸龙耳的铸焊痕迹。"
